page_name,category_name
map_pick,Semi-structured and structured data
map_size,Semi-structured and structured data
get,Semi-structured and structured data
get_ignore_case,Semi-structured and structured data
get_path,Semi-structured and structured data
object_keys,Semi-structured and structured data
xmlget,Semi-structured and structured data
as,Semi-structured and structured data
as_array,Semi-structured and structured data
as_binary,Semi-structured and structured data
as_boolean,Semi-structured and structured data
as_char-varchar,Semi-structured and structured data
as_date,Semi-structured and structured data
as_decimal-number,Semi-structured and structured data
as_double-real,Semi-structured and structured data
as_integer,Semi-structured and structured data
as_object,Semi-structured and structured data
as_time,Semi-structured and structured data
as_timestamp,Semi-structured and structured data
to_array,Semi-structured and structured data
to_json,Semi-structured and structured data
to_object,Semi-structured and structured data
to_variant,Semi-structured and structured data
to_xml,Semi-structured and structured data
is,Semi-structured and structured data
is_array,Semi-structured and structured data
is_binary,Semi-structured and structured data
is_boolean,Semi-structured and structured data
is_char-varchar,Semi-structured and structured data
is_date-value,Semi-structured and structured data
is_decimal,Semi-structured and structured data
is_double-real,Semi-structured and structured data
is_integer,Semi-structured and structured data
is_null_value,Semi-structured and structured data
is_object,Semi-structured and structured data
is_time,Semi-structured and structured data
is_timestamp,Semi-structured and structured data
typeof,Semi-structured and structured data
associate_semantic_category_tags,Stored procedures
system_classify,Stored procedures
system_classify_schema,Stored procedures
system_cancel_classify_schema,Stored procedures
reset_privacy_budget,Stored procedures
system_request_listing_and_wait,Stored procedures
snowflake_telemetry_add_row_access_policy_on_events_view,Stored procedures
snowflake_telemetry_drop_row_access_policy_on_events_view,Stored procedures
generate_synthetic_data,Stored procedures
uuid_string,String & binary
strtok_to_array,String & binary
ascii,String & binary
bit_length,String & binary
chr,String & binary
concat,String & binary
concat_ws,String & binary
insert,String & binary
length,String & binary
lpad,String & binary
ltrim,String & binary
octet_length,String & binary
parse_ip,String & binary
parse_url,String & binary
repeat,String & binary
reverse,String & binary
rpad,String & binary
rtrim,String & binary
rtrimmed_length,String & binary
soundex,String & binary
soundex_p123,String & binary
space,String & binary
split,String & binary
split_part,String & binary
strtok,String & binary
translate,String & binary
trim,String & binary
unicode,String & binary
search,String & binary
search_ip,String & binary
initcap,String & binary
lower,String & binary
upper,String & binary
charindex,String & binary
contains,String & binary
editdistance,String & binary
endswith,String & binary
ilike,String & binary
ilike_any,String & binary
jarowinkler_similarity,String & binary
left,String & binary
like,String & binary
like_all,String & binary
like_any,String & binary
position,String & binary
replace,String & binary
right,String & binary
startswith,String & binary
substr,String & binary
compress,String & binary
decompress_binary,String & binary
decompress_string,String & binary
base64_decode_binary,String & binary
base64_decode_string,String & binary
base64_encode,String & binary
hex_decode_binary,String & binary
hex_decode_string,String & binary
hex_encode,String & binary
try_base64_decode_binary,String & binary
try_base64_decode_string,String & binary
try_hex_decode_binary,String & binary
try_hex_decode_string,String & binary
md5,String & binary
md5_binary,String & binary
md5_number_lower64,String & binary
md5_number_upper64,String & binary
sha1,String & binary
sha1_binary,String & binary
sha2,String & binary
sha2_binary,String & binary
collate,String & binary
collation,String & binary
classify_text-snowflake-cortex,String & binary
complete-snowflake-cortex,String & binary
embed_text-snowflake-cortex,String & binary
embed_text_1024-snowflake-cortex,String & binary
extract_answer-snowflake-cortex,String & binary
finetune-create,String & binary
finetune-describe,String & binary
finetune-show,String & binary
finetune-cancel,String & binary
sentiment-snowflake-cortex,String & binary
summarize-snowflake-cortex,String & binary
parse_document-snowflake-cortex,String & binary
translate-snowflake-cortex,String & binary
count_tokens-snowflake-cortex,String & binary
search_preview-snowflake-cortex,String & binary
split_text_recursive_character-snowflake-cortex,String & binary
try_complete-snowflake-cortex,String & binary
system_data_metric_scan,System
system_abort_session,System
system_abort_transaction,System
system_add_event,System
system_authorize_privatelink,System
